,ID,Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
52,2017-En-41397,"Its possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.",0,0,0,0,0,0,0,0,1,0,0
53,2017-En-41073,Ive felt surprisingly gloomy about my bad scouts today :'D but i recognize that it's all just RNG and yeah I didnt spend that many gems,0,0,0,0,0,0,1,1,1,0,0
54,2017-En-10559,"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway",1,0,1,0,0,0,0,0,0,0,0
55,2017-En-20648,critical The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think theyre fighting against.,1,0,1,0,0,0,0,0,0,0,0
56,2017-En-21927,nah way that's horrible,1,0,1,0,0,0,0,0,0,0,0
57,2017-En-20218,I think just becz u have so much terror in pak nd urself being a leader u forgot d difference btw a leader nd terrorist !,1,0,1,1,0,0,0,0,0,0,0
58,2017-En-30952,angel delight is my everything,0,0,0,0,1,1,0,0,0,0,0
59,2017-En-10474,Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG,1,1,0,0,0,0,0,0,0,0,0
60,2017-En-20413,In dire need of a worship session to just let go of everything,0,1,0,1,0,0,1,0,1,0,0
61,2017-En-40195,Brb going to sulk in bed until Friday,1,0,1,0,1,0,0,1,1,0,0
62,2017-En-10649,I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.,0,1,0,0,1,0,0,0,0,0,0
63,2017-En-41456,This is the first time I've been sober on my birthday in 6 years. recovery sobriety sober soberissexy sobernative,0,0,0,0,1,0,1,0,0,0,0
64,2017-En-11034,Weak people revenge. Strong people forgive. Intelligent people ignore.,1,0,0,0,0,0,1,0,0,0,0
65,2017-En-10396,I have a rage rage ep 2 coming out soon I'll keep you posted on it YouTube youtubegaming rage,1,0,0,0,0,0,0,0,0,0,0
66,2017-En-40760,"I'm so proud he understands this, he shows love, thought and compassion and it's not done in a clouded way..",0,0,0,0,1,0,1,0,0,0,0
67,2017-En-30218,Why have I only just started watching glee this week I am now addicted rolling eyes glee GLEEK,0,0,0,0,1,1,0,0,0,0,0
68,2017-En-21649,Delia omg that's terrible,1,0,1,1,0,0,0,0,1,0,0
69,2017-En-10742,"All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!",0,0,0,0,0,1,0,0,0,0,0
70,2017-En-21926,"tomorrow will be the last episode of despair arc, so much shit is gonna happen i'm not emotionally prepared...",0,1,0,1,0,0,0,0,0,0,0
71,2017-En-21045,"Jorge deserves it, honestly. He's weak. 90dayfiance",1,0,1,0,0,0,0,0,0,0,0
72,2017-En-30985,Modern family never fails to cheer me up. Especially Phil.,0,0,0,0,1,1,1,0,0,0,0
73,2017-En-31561,Sometimes I get to sit back and be proud of myself for pleasing Him so well.,0,0,0,0,1,1,1,0,0,0,0
74,2017-En-10827,Follow me on Snapchat ghost Carlabtst15 snapchat,0,0,0,0,1,0,1,0,0,0,0
75,2017-En-10252,'shit' doesn't even begin to describe these fiery little demons straight from hell full moon new moon ;),1,0,1,0,0,0,0,0,0,0,0
76,2017-En-40175,It's way too hard not to get discouraged.,1,0,0,0,0,0,0,1,1,0,0
77,2017-En-31116,ditto!! Such an amazing atmosphere! PhilippPlein cheerleaders stunt LondonEvents cheer,0,0,0,0,1,1,0,0,0,1,0
78,2017-En-21998,"Somewhere I rd a rpt tht Pakis wr afraid of TSD & asked it 2 shut dn. Congis obliged & exposed it,hounded them.time to revive. BadlaofUri",0,0,0,0,0,0,0,0,0,0,0
79,2017-En-40520,"Interview preparation, I hate talking about myself, one dull subject matter! yawnoff",1,0,1,1,0,0,0,0,0,0,0
80,2017-En-11180,Manchester derby at home,0,0,0,0,1,0,0,0,0,0,0
81,2017-En-21565,"It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. concern",1,0,1,1,0,0,0,1,0,1,0
82,2017-En-31526,"Yep, peeps on here always out to cheer others up! I'm fine, drooling at GBBO x",0,0,0,0,1,0,1,0,0,0,0
83,2017-En-11538,Maybe if it was transgender the media would cover it outrage,1,0,0,0,0,0,0,0,1,0,0
84,2017-En-30572,her; i want a playful relationship me; *kicks her off the couch*,0,0,0,0,1,0,0,0,0,0,0
85,2017-En-21333,Romero is fucking dreadful like seriously my 11 month old is better than him.,1,0,1,0,0,0,0,0,0,0,0
86,2017-En-30855,Each day is what you make of it! goals challenges business goals success photographer photography ThursdayThoughts,0,0,0,0,1,0,1,0,0,0,0
87,2017-En-10522,Since the 'update' my loses power nearly 40% faster.,1,0,1,0,0,0,0,0,1,0,0
88,2017-En-11191,"Its taken for granted, while the misogyny in the air is treated as normal and any angry response to it as pathological.",1,0,1,0,0,0,0,0,0,0,0
89,2017-En-40717,"All clouded out. Considering using a camera, 1) star trails 2) eyepiece projection.",0,1,0,0,1,0,1,0,0,0,0
90,2017-En-30639,Helluva lot more animated than they were for the actual game >.<,0,1,0,0,1,1,1,0,0,0,0
91,2017-En-40973,oh I see. I've seen so many people mourn the loss that I was surprised to see your tweet. I suppose same old here in SA,0,0,0,0,0,0,0,0,1,1,0
92,2017-En-10924,"Anger, resentment, and hatred are the destroyer of your fortune today.",1,0,0,0,0,0,1,0,0,0,0
93,2017-En-30454,Optimism leads to success. - Bill Kerr Kerr success optimism goals,0,0,0,0,1,0,1,0,0,0,1
94,2017-En-10160,what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer pouting,1,0,1,0,0,0,0,0,1,0,0
95,2017-En-41446,"I'm just a sucker for pine, I wanna rake you up, I wanna pile you down, I'm just a sucker for pine FallSongs",1,0,0,0,1,0,0,0,0,0,0
96,2017-En-40180,so gutted i dropped one of my earrings down the sink at school,0,0,0,0,0,0,0,0,1,0,0
97,2017-En-30531,The Quarterback' wrecks me every time.. glee,0,0,0,0,1,0,1,0,0,0,0
98,2017-En-20212,"Williams If this ban goes through, it will harm so many people, disabled veterans, people who have chronicpain, iamkratom",0,0,1,0,0,0,0,0,0,0,0
99,2017-En-21787,"Happy birthday to Stephen King, a man responsible for some of the best horror of the past 40 years... and a whole bunch of the worst.",0,0,0,0,1,0,0,0,0,0,0
100,2017-En-20704,My courage always rises at every attempt to intimidate me. -Elizabeth Bennett (Pride and Prejudice) Quotes Courage FaceYourFears,0,1,0,0,0,0,1,0,0,0,1
101,2017-En-41483,"it's still not sunk in that im seeing joe next month, im so grateful and excited shit",0,0,0,0,1,0,1,0,0,0,0
102,2017-En-21072,"It's a good day at work when you get to shake Jim Lehrer's hand. Thanks, Still kicking myself for being to shy to hug",0,0,0,0,1,1,0,0,0,0,0
103,2017-En-21699,I'm so bored and fat and full and ridiculously overweight and rolls galore,0,0,1,0,0,0,0,1,1,0,0
104,2017-En-40479,The Sunderland time line is quite funny with all the doom & gloom in facing us and the long trip to us midweek. whatgoesaroundcomesaround,0,0,0,0,1,0,1,0,0,0,0
105,2017-En-10651,"If my luck the rest of Fall goes anything like today, I think I'm going to like this season. bestdayever magic work",0,0,0,0,1,0,1,0,0,0,0
106,2017-En-40208,"Flirt, simper, pout, repeat. Yuck.",1,0,1,0,0,0,0,0,0,0,0
107,2017-En-10597,"Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally, long before Trump got into politics.",1,0,1,0,0,0,0,1,0,0,0
108,2017-En-10141,There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me will know,1,0,1,0,0,0,0,0,0,0,0
109,2017-En-40834,Soooo badly want to dye my hair dark but have never been dark before soooo torn loudly crying loudly crying loudly crying,1,0,1,0,0,0,0,0,1,0,0
110,2017-En-11414,"Tears and eyes can dry but I won't, I'm burning like the wire in a lightbulb",1,0,0,0,0,0,0,0,0,0,0
111,2017-En-10668,Nor hell a fury like a woman scorned -- William Congreve,1,0,0,1,0,0,0,0,0,0,0
112,2017-En-41355,"REPORT I agree. This current, ultra-left Democratic party lost a lot of members, including myself. I switched to Repub.",0,0,0,0,0,0,0,0,0,0,0
113,2017-En-40348,Tried 2 get earlier flt 2day Turnd away bcuz it was 2 late Then agent let other pas on silvereliteleftbehind,0,0,1,0,0,0,0,0,1,0,0
114,2017-En-11637,meadows Since it's a friend of Pereg's I don't want to offend :) Peace,0,0,0,0,1,0,1,0,1,0,1
115,2017-En-41252,"I so wish you could someday come to Spain with the play, I can't believe I'm not going to see it sad",0,0,0,0,0,0,0,0,1,0,0
116,2017-En-20636,The worst customer service and lack of professionalism from this service provider! phoneprovider badbusiness,1,0,1,0,0,0,0,0,1,0,0
117,2017-En-21387,"Val got a little too big for her hiking boots with that bakewell, the little terror GBBO",0,0,0,1,1,1,0,0,0,0,0
118,2017-En-30095,I'm cheery now blowing a kiss winking,0,0,0,0,1,1,1,0,0,0,0
119,2017-En-30904,Bridget Jones' Baby was bloody hilarious grinning sweat BridgetJonesBaby,0,0,0,0,1,0,1,0,0,0,0
120,2017-En-22055,I had really strange and awful dreams last night. I'd didn't even eat cheese before bed lovemysleep,1,0,1,1,1,1,0,0,1,0,0
121,2017-En-41195,bts' trilogy MV is my all time fav raising hands quite gloomy but beautiful as well sparkles,0,0,0,0,1,1,0,0,0,0,0
122,2017-En-40404,Brad Pitt being investigated for child abuse?! this all just got really dark,1,0,1,0,0,0,0,0,1,0,0
123,2017-En-30533,Watch this amazing live.ly broadcast by musicallyjh,0,1,0,0,1,0,1,0,0,1,0
124,2017-En-21118,should I start posting photos?,0,1,0,0,0,0,0,0,0,0,0
125,2017-En-10241,Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis angry,1,0,1,0,0,0,0,0,0,0,0
126,2017-En-30917,"'Oh!' Almost with odd cheerfulness, Big Boss offers: 'Muzzle flash blinding. Accidental by the guy who became my best friend.'",1,0,1,0,1,0,1,0,0,0,0
127,2017-En-30090,Thank you disney themed episode for letting me discover how amazing the are! hilarious,0,0,0,0,1,0,0,0,0,0,0
128,2017-En-10331,Need a new outlet for rage,1,0,1,0,0,0,0,0,0,0,0
129,2017-En-30555,Watch this amazing live.ly broadcast by swaggysquad musically,0,1,0,0,1,1,1,0,0,0,0
130,2017-En-30097,Rewatching 'Raising Hope' (with hubs this time) and totally forgot how hilarious it is tears of joy HereWeGo,0,0,0,0,1,1,0,0,0,0,0
131,2017-En-11332,wow. not heard this in forever. Random but. great sting xph,0,0,0,0,1,0,0,0,0,0,0
132,2017-En-20652,so you mean like Uber but for despair for someone other than the driver',0,0,1,0,0,0,0,0,0,0,0
133,2017-En-30493,If you don't love yourself... Honesty is the best policy smile,0,0,0,0,1,0,1,0,0,0,1
134,2017-En-10426,"I'm offended, I actually am",1,0,0,0,0,0,0,0,1,0,0
135,2017-En-21029,"In my room 101 would go Russell Howard,Tom Odell,Michael Buble!!! pants nogood",1,0,1,0,0,0,0,1,1,0,0
136,2017-En-40299,Gaaaaaaaad! Should have stayed in London!,1,0,1,0,0,0,0,0,1,0,0
137,2017-En-31237,May the optimism of tomorrow be your foundation for today.,0,0,0,0,0,0,1,0,0,0,0
138,2017-En-40565,giacchino will this be aired on radio or filmed? Lots of fans over the pond too! wales lost,0,0,0,0,1,0,1,0,1,0,0
139,2017-En-21772,"And also, trying to find it on Youtube is a fucking nightmare.",1,0,1,0,0,0,0,0,0,0,0
140,2017-En-30068,"Glad to see that you're having fun in the sun. Water sports are always fun, challenging, and exhilarating. happiness beauty",0,0,0,0,1,1,1,0,0,0,1
141,2017-En-11436,spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain,1,0,1,0,0,0,0,0,0,0,0
142,2017-En-22096,do you actually heely on campus bc this should scare you,0,0,0,1,0,0,0,0,0,0,0
143,2017-En-21099,GetSmartWithARQ is a smart way to start investing and whiteicenetwork is smart source 2 start skilled manpower recruitment for ur firm,0,1,0,0,1,0,1,0,0,1,0
144,2017-En-21874,Omg I actually thought she was going to jump. bully SouthPark20 southpark,0,1,0,0,0,0,0,0,0,0,0
145,2017-En-20961,RamsFan their whole team is limited when they're on the field.,0,0,0,0,1,0,1,0,0,0,0
146,2017-En-41038,"Happy Birthday, LOST! / lost dharmainitiative 12years 22september2004 oceanic815",0,0,0,0,1,0,0,0,0,0,0
147,2017-En-22007,"PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. depression anxietyprobz",0,0,0,1,0,0,0,0,1,0,0
148,2017-En-31143,"This night is sparkling, don't you let it go! I'm wonderstruck, blushing all the way home..' ValerieBot",0,0,0,0,1,1,1,0,0,1,0
149,2017-En-30188,The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team superman,0,0,0,0,1,1,1,0,0,0,0
150,2017-En-11477,People who go the speed limit irritate me,1,0,1,0,0,0,0,0,0,0,0
151,2017-En-40714,FF Family X soul blues & rock band music from the heart With soul & passion Xx musical notes xX,0,0,0,0,1,0,0,0,0,0,0
152,2017-En-22201,Last product I buy - I promise! Absolutely CustomerService,1,1,1,0,0,0,1,0,0,0,0
153,2017-En-20269,ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ...,1,0,1,1,0,0,0,0,0,0,0
154,2017-En-41192,Huh! It's always my fault isn't it >:( huff sulk,1,0,1,0,0,0,0,0,1,0,0
155,2017-En-10265,'I know you trusted me.' His words were soft as he ignored the anger and focused on the hurt beneath. 'I know I screwed up.' --,1,0,1,0,0,0,0,0,1,0,0
156,2017-En-21785,Wms I have never been more anxious of a election in my life double exclamation mark,0,0,0,1,0,0,0,0,0,0,0
157,2017-En-31371,"'Elizabeth Smith!' She said with a cheery smile 'Pleasure to meet you, sir! Where have you travelled from?'",0,1,0,0,1,0,1,0,0,0,1
158,2017-En-20844,My fav movies are horror but they don't make them like they used too. Haven't seen a great one in years,0,0,1,0,0,0,0,0,1,0,0
159,2017-En-11565,"James: no 500k, no 50k, no 25k, no 10k. You fucked up. bb18 bitter shouldofVotedforNicole",1,0,1,0,0,0,0,0,1,0,0
160,2017-En-21703,I'd like to bridge the divide between Right and Left Twitter and say that the new Tweet truncating thing is fucking awful.,1,0,1,0,0,0,0,0,0,0,0
161,2017-En-21908,I am shy xD,0,0,0,1,0,0,0,1,1,0,0
162,2017-En-11008,After what just happened. In need to smoke.,1,0,0,0,0,0,0,0,0,0,0
163,2017-En-31214,hahahahahaha!! Oh gosh. You are hilarious. A black man trying to keep racism alive. Get out of here man.,1,0,1,0,1,0,1,0,0,0,0
164,2017-En-11581,Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her,1,0,0,0,0,0,0,0,0,0,0
165,2017-En-10528,Chris ate all my mac n cheese so imma eat all his taffy revenge,1,0,1,0,1,0,0,0,0,0,0
166,2017-En-30587,"I remember its heyday, but these ladies range in age from, I'd say, mid-30s to early 70s.",0,1,0,0,1,0,0,0,0,0,0
167,2017-En-21182,so this houses will get into my instestines and scare my poop and I'll shit my pants?,1,0,1,1,0,0,0,0,0,0,0
168,2017-En-41158,I came to work for no reason weary pistol I could've stayed in bed,1,0,0,0,0,0,0,1,1,0,0
169,2017-En-20389,That old lady is cray cray scared BellaIsSoCute awe Empire,0,0,0,1,0,0,0,0,0,0,0
170,2017-En-21683,do REDNECKS intellectually intimidate you and force you to be their dancing clown?,1,0,1,0,0,0,0,1,0,0,0
171,2017-En-20110,hi my names anxiety and i have shaun,0,0,0,1,0,0,0,0,0,0,0
172,2017-En-30921,"Sometimes I like to talk about my sadness. Other times, I just want to be distracted by friends, laughter, shopping, eating... MHChat",0,0,1,0,0,0,0,0,1,0,0
173,2017-En-21773,Noooooo without MaryBerry will be awful endofanera going 2b so lost have bought a lameduck there notallaboutthemoney,1,0,1,0,0,0,0,1,0,0,0
174,2017-En-21125,"Ha! Got your book after our 'meeting' at the Starbucks in NOLA. If Josh says it's terrific, I'm all in.",0,1,0,0,1,0,1,0,0,0,1
175,2017-En-30345,"On the bright side, my music theory teacher just pocket dabbed and said, 'I know what's hip.' And walked away tears of joy loudly crying",0,0,0,0,1,0,0,0,0,0,0
176,2017-En-40429,"SRogers 'Well it can go one of two ways. You either get over it and accept it, because it's not going to change, or you mope about --",1,1,1,0,0,0,0,0,0,0,0
177,2017-En-22008,"PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. depression anxiety anxietyprobz",0,0,0,1,0,0,0,0,1,0,0
178,2017-En-30027,Morning all! Of course it is sunny on this Monday morning to cheerfully welcome us back to work.:),0,0,0,0,1,0,1,0,0,0,0
179,2017-En-21478,ThisIsUs has messed with my mind & now I'm anticipating the next episode with apprehension & delight! isthereahelplineforthis,0,1,0,0,1,0,0,0,0,0,0
180,2017-En-20539,"Although this war will be under the guise of combating terrorism it will in fact be a war against poverty, ignorance and just stupidity.",1,0,1,0,0,0,1,0,0,0,0
181,2017-En-20498,God we need a new goal keeper! Theyre both horrific.,1,0,1,0,0,0,0,1,0,0,0
182,2017-En-21464,Old age?! No hope for the rest of us. Destined to become deatheaters by 50 nightmare,0,0,0,1,0,0,0,0,1,0,0
183,2017-En-21723,"if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't",0,0,0,0,0,0,0,1,1,1,0
184,2017-En-22154,"Everybody's worried about stopping terrorism. Well, there's a really easy way: stop participating in it. - Noam Chomsky",0,0,0,1,0,0,1,0,0,0,0
185,2017-En-40139,wow almost all the T-Mobile stores in San Diego are out of Note7 replacements sadness I need to get mine replaced,0,0,0,0,0,0,0,1,1,0,0
186,2017-En-41499,I am worried that she felt safe. unhappy,0,0,0,1,0,0,0,0,1,0,0
187,2017-En-40494,sadly i have to go to bed now don't announce anything while i'm gone thank u i love you,0,0,0,0,1,1,0,0,1,0,0
188,2017-En-40997,"I look at some of the average players that play at the min and pine Nani, Rafael , RVP ,",0,0,0,0,1,0,1,0,0,0,0
189,2017-En-21644,ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the,1,0,0,0,0,0,0,0,0,0,0
190,2017-En-30722,"I wish, I really, truly wish, that I had just a modicum of your banter.",0,1,0,0,1,0,1,0,0,0,0
191,2017-En-10969,HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! BB18 sorry not sorry bitter bbmichelle,1,0,1,0,1,0,1,0,0,0,0
192,2017-En-21183,Nothing worse than an uber driver that can't drive. awful,1,0,1,0,0,0,0,0,0,0,0
193,2017-En-10107,"Leave it on there, rule,nimber 1 of carpet cleaning!!! furious worsethananatomicbomb accidentlyspillbeeronthecarpet",1,0,1,0,0,0,0,0,0,0,0
194,2017-En-10290,Said it before and I'll say it now: America is really fortunate that black people only want equality and not revenge.,0,1,0,0,1,0,0,0,0,0,0
195,2017-En-41366,u know ion play that shit bout my weary brother,1,0,1,0,0,0,0,0,0,0,0
196,2017-En-11127,cmode grimrail made me want to eat angry bees,1,0,1,0,0,0,0,0,0,0,0
197,2017-En-30963,Happy Birthday 56 cheer cheerchick jeep jeepgirl IDriveAJeep jeepjeep Cheer,0,0,0,0,1,1,0,0,0,0,0
198,2017-En-30829,"I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",1,0,1,1,0,0,0,0,0,0,0
199,2017-En-11459,Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us.,1,0,1,0,0,0,0,0,0,0,0
200,2017-En-40999,"We're in contained depression. Only new economic engine is Sustainability, say Joel + @ VERGEcon. NewGrandStrategy",0,0,0,0,0,0,0,1,1,0,0
201,2017-En-21020,Solid starts by Bozzelli and BenEvans. Hoping for a good start !,0,1,0,0,1,0,1,0,0,0,0
202,2017-En-11396,> huff louder,0,0,0,0,0,0,0,1,1,0,0
203,2017-En-30823,"lol I thought maybe, couldn't decide if there was levity or not",0,1,0,0,1,0,0,0,0,0,0
204,2017-En-31248,There's a certain hilarity in people angry at protests against the national anthem or the flag when these acts are covered by 1st Amendment.,1,0,1,0,0,0,0,0,0,0,0
205,2017-En-31306,Fitz it's being extremely playful,0,0,0,0,1,1,1,0,0,0,0
206,2017-En-10714,I love Lizzy Warren's latest rage against Wall Street.,1,0,0,0,1,1,0,0,0,0,0
207,2017-En-40202,I don't want the pity of my instructors but I'd like some understanding. I'm truly trying despite ALL circumstances that make me discouraged,1,0,0,0,0,0,0,1,0,0,0
208,2017-En-31349,"CommunitySleepCoach: Look at these narcoleptic puppies. Make you smile. If you are human & find yourself in such odd positions, seek th...",0,0,0,0,1,1,0,0,0,0,0
209,2017-En-40955,*Sigh* depression saddness afterellen shitsucks,1,0,1,0,0,0,0,1,1,0,0
210,2017-En-11409,McMullin He's spent his campaign dividing people up and pitting them against each other. His message is to fear and resent the 'other',1,0,1,1,0,0,0,0,1,0,0
211,2017-En-21484,@ MariaPetrova should have stopped after 'smiled'. Being rude=not the same as being funny.It was just being mean bully stoppickingonwomen,1,0,1,0,0,0,0,0,1,0,0
